[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[1,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
